Mission_ID,Mission_Name,Agency,Country_Region,Agency_Type,Program_Type,Mission_Category,Sub_Category,Launch_Date,End_Date,Duration,Launch_Vehicle,Launch_Site,Status,Mission_Phase,Crew_Type,Crew_Members,Destination,Objective,Key_Achievement,Cost_USD_Million,Partner_Agencies,Data_Returned,Failure_Reason,Mission_Outcome_Detail,Reference_URL
BL-06152,Blue Origin ISS Mission 6152,Blue Origin,USA,Private,Satellite,ISS,EVA,2030-04-18,N/A,Ongoing,New Shepard,Cape Canaveral LC-36,Upcoming,Future,Uncrewed,N/A,ISS,Interplanetary navigation technology test,Planned - objectives to be confirmed post-launch,4822.9,NASA,N/A,N/A,First crewed landing at destination,https://www.blueorigin.com/missions/blue-origin-iss-mission-6152
SP-06153,SpaceX Deep Space Mission 6153,SpaceX,USA,Private,Robotic,Deep Space,Flyby,2011-05-17,2022-06-15,11.1 years,Falcon 1,Boca Chica (Starbase),Success,Past,Uncrewed,N/A,Deep Space,Orbital mechanics experiment for future missions,Landed successfully within target zone,13899.6,NASA,No,N/A,Achieved orbit insertion on first attempt,https://www.spacex.com/missions/spacex-deep-space-mission-6153
AS-06154,ASI CubeSat Mission 6154,ASI,Italy,Government,Telescope,CubeSat,3U CubeSat,2026-10-26,N/A,Ongoing,Vega,Broglio Space Centre,Upcoming,Future,Uncrewed,N/A,CubeSat,ISS crew rotation and life support resupply,Planned - objectives to be confirmed post-launch,11225.8,None,N/A,N/A,Failed to achieve orbit due to launch vehicle anomaly,https://www.asi.it/mission/asi-cubesat-mission-6154
NA-06155,NASA Mercury Mission 6155,NASA,USA,Government,Commercial,Mercury,Orbiter,1991-03-31,1996-03-27,5.0 years,Saturn V,Kennedy Space Center,Success,Past,Crewed,"PS1, Pilot",Mercury,Commercial crew certification flight,Mission ongoing - data collection in progress,6447.3,None,Partial,N/A,Detected organic molecules at surface,https://www.nasa.gov/mission/nasa-mercury-mission-6155
CS-06156,CSA Communication Satellite Mission 6156,CSA,Canada,Government,Robotic,Communication Satellite,Broadband,2020-10-21,N/A,Ongoing,Atlas V,Kennedy Space Center,Ongoing,Ongoing,Uncrewed,N/A,Communication Satellite,Technology demonstration for future deep space missions,Failed to achieve orbit due to launch vehicle anomaly,14018.4,None,No,N/A,Achieved orbit insertion on first attempt,https://www.asc-csa.gc.ca/mission/csa-communication-satellite-mission-6156
JA-06157,JAXA Communication Satellite Mission 6157,JAXA,Japan,Government,Commercial,Communication Satellite,Geostationary,2000-02-07,2007-02-09,7.0 years,H3,Kagoshima,Success,Past,Uncrewed,N/A,Communication Satellite,Heliosphere boundary exploration,Successfully deployed all planned instruments,8124.6,CSA,No,N/A,Mission ongoing - data collection in progress,https://www.jaxa.jp/missions/jaxa-communication-satellite-mission-6157
CS-06158,CSA Sounding Rocket Mission 6158,CSA,Canada,Government,Human Spaceflight,Sounding Rocket,Ionosphere Study,1961-08-23,1962-07-19,330 days,Atlas V,Kennedy Space Center,Success,Past,Uncrewed,N/A,Sounding Rocket,Earth climate monitoring and greenhouse gas measurement,Communication lost after initial deployment,2611.0,None,Partial,N/A,Planned - objectives to be confirmed post-launch,https://www.asc-csa.gc.ca/mission/csa-sounding-rocket-mission-6158
CS-06159,CSA Crewed Spaceflight Mission 6159,CSA,Canada,Government,Satellite,Crewed Spaceflight,Test Flight,2022-08-05,N/A,Ongoing,Delta II,Vandenberg SFB,Ongoing,Ongoing,Uncrewed,N/A,Crewed Spaceflight,Reusable launch vehicle technology demonstration,Successfully deployed all planned instruments,770.9,None,No,N/A,Planned - objectives to be confirmed post-launch,https://www.asc-csa.gc.ca/mission/csa-crewed-spaceflight-mission-6159
CN-06160,CNSA Sounding Rocket Mission 6160,CNSA,China,Government,Robotic,Sounding Rocket,Microgravity Exp,2021-03-03,N/A,Ongoing,Long March 5,Wenchang,Ongoing,Ongoing,Uncrewed,N/A,Sounding Rocket,Technology demonstration for future deep space missions,Extended mission beyond original timeline,7892.2,ESA,Partial,N/A,Collected and returned surface samples,http://www.cnsa.gov.cn/mission/cnsa-sounding-rocket-mission-6160
BL-06161,Blue Origin Venus Mission 6161,Blue Origin,USA,Private,Technology Demo,Venus,Orbiter,2020-03-13,N/A,Ongoing,New Shepard,Cape Canaveral LC-36,Ongoing,Ongoing,Uncrewed,N/A,Venus,Gamma-ray burst detection and cataloguing,Broke distance record for agency,6558.4,None,Partial,N/A,Discovered new geological features,https://www.blueorigin.com/missions/blue-origin-venus-mission-6161
DL-06162,DLR Deep Space Mission 6162,DLR,Germany,Government,Technology Demo,Deep Space,Interstellar,1978-01-28,N/A,Ongoing,Ariane 6,Kiruna,Ongoing,Past,Uncrewed,N/A,Deep Space,Orbital mechanics experiment for future missions,Deployed constellation of satellites,2596.9,ESA,Yes,N/A,Achieved orbit insertion on first attempt,https://www.dlr.de/mission/dlr-deep-space-mission-6162
CN-06163,CNES SmallSat Mission 6163,CNES,France,Government,Robotic,SmallSat,IoT Connectivity,1998-09-08,2006-12-04,8.2 years,Ariane 5,Hammaguir,Success,Past,Uncrewed,N/A,SmallSat,Space debris monitoring and removal,Mission ongoing - data collection in progress,8224.5,None,Partial,N/A,Communication lost after initial deployment,https://cnes.fr/mission/cnes-smallsat-mission-6163
BL-06164,Blue Origin Technology Demo Mission 6164,Blue Origin,USA,Private,Telescope,Technology Demo,In-Orbit Servicing,1980-09-08,1989-03-09,8.5 years,New Glenn,West Texas (Corn Ranch),Success,Past,Uncrewed,N/A,Technology Demo,Lunar surface exploration and soil sample collection,Confirmed presence of subsurface water,4143.9,None,No,N/A,Detected water ice at target location,https://www.blueorigin.com/missions/blue-origin-technology-demo-mission-6164
DL-06165,DLR Sounding Rocket Mission 6165,DLR,Germany,Government,Satellite,Sounding Rocket,Ionosphere Study,1967-10-02,1979-08-20,11.9 years,Ariane 6,Kourou (French Guiana),Success,Past,Uncrewed,N/A,Sounding Rocket,Technology demonstration for future deep space missions,Detected water ice at target location,683.6,NASA,Partial,N/A,Partial success - secondary objectives met,https://www.dlr.de/mission/dlr-sounding-rocket-mission-6165
CN-06166,CNSA Earth Orbit Mission 6166,CNSA,China,Government,Sounding Rocket,Earth Orbit,ISS Resupply,2005-08-29,2017-05-19,11.7 years,Long March 7,Xichang,Success,Past,Uncrewed,N/A,Earth Orbit,Venus atmospheric chemistry and surface mapping,First crewed landing at destination,10428.7,None,Partial,N/A,First crewed landing at destination,http://www.cnsa.gov.cn/mission/cnsa-earth-orbit-mission-6166
CN-06167,CNES Communication Satellite Mission 6167,CNES,France,Government,Commercial,Communication Satellite,Broadband,2022-11-05,N/A,Ongoing,Ariane 6,Hammaguir,Ongoing,Ongoing,Uncrewed,N/A,Communication Satellite,ISS crew rotation and life support resupply,First images returned from target destination,8770.2,None,No,N/A,Successfully tested new propulsion system,https://cnes.fr/mission/cnes-communication-satellite-mission-6167
AS-06168,ASI Mercury Mission 6168,ASI,Italy,Government,Satellite,Mercury,Flyby,2017-08-24,2018-02-16,176 days,Ariane 5,Broglio Space Centre,Partial Success,Past,Uncrewed,N/A,Mercury,Microgravity biology experiment in LEO,Broke distance record for agency,14294.9,None,No,Reduced data return,Deployed constellation of satellites,https://www.asi.it/mission/asi-mercury-mission-6168
CN-06169,CNSA SmallSat Mission 6169,CNSA,China,Government,Robotic,SmallSat,Earth Imaging,2016-12-20,2023-02-16,6.2 years,Long March 3,Xichang,Success,Past,Uncrewed,N/A,SmallSat,Neptune and Uranus atmospheric study flyby,Achieved supersonic retropropulsion,2481.9,ROSCOSMOS,Yes,N/A,Extended mission beyond original timeline,http://www.cnsa.gov.cn/mission/cnsa-smallsat-mission-6169
NA-06170,NASA Earth Observation Mission 6170,NASA,USA,Government,Robotic,Earth Observation,Land Survey,1980-04-21,1980-02-23,N/A,Saturn V,Wallops Flight Facility,Success,Past,Uncrewed,N/A,Earth Observation,Earth observation for disaster management,First images returned from target destination,4669.0,ISRO,Partial,N/A,Confirmed presence of subsurface water,https://www.nasa.gov/mission/nasa-earth-observation-mission-6170
CN-06171,CNES Communication Satellite Mission 6171,CNES,France,Government,Human Spaceflight,Communication Satellite,Broadband,2029-03-10,N/A,Ongoing,Diamant,Kourou (French Guiana),Upcoming,Future,Crewed,"PS1, MS1, MS3",Communication Satellite,Earth climate monitoring and greenhouse gas measurement,Planned - objectives to be confirmed post-launch,3169.9,None,N/A,N/A,Detected organic molecules at surface,https://cnes.fr/mission/cnes-communication-satellite-mission-6171
DL-06172,DLR Crewed Spaceflight Mission 6172,DLR,Germany,Government,Telescope,Crewed Spaceflight,Space Station,2006-03-27,N/A,Ongoing,Ariane 6,Esrange,Ongoing,Past,Uncrewed,N/A,Crewed Spaceflight,Technology demonstration for future deep space missions,Failed to achieve orbit due to launch vehicle anomaly,9994.7,None,Partial,N/A,Broke distance record for agency,https://www.dlr.de/mission/dlr-crewed-spaceflight-mission-6172
DL-06173,DLR CubeSat Mission 6173,DLR,Germany,Government,Telescope,CubeSat,12U CubeSat,2011-01-13,2017-11-22,6.9 years,Sounding Rocket,Kourou (French Guiana),Success,Past,Uncrewed,N/A,CubeSat,Mars atmospheric study and habitability assessment,First images returned from target destination,12516.7,None,No,N/A,Achieved orbit insertion on first attempt,https://www.dlr.de/mission/dlr-cubesat-mission-6173
BL-06174,Blue Origin Venus Mission 6174,Blue Origin,USA,Private,Human Spaceflight,Venus,Orbiter,2000-04-27,2008-09-11,8.4 years,New Glenn,Cape Canaveral LC-36,Success,Past,Uncrewed,N/A,Venus,Next-generation communication satellite deployment,Collected and returned surface samples,6216.9,None,Yes,N/A,Communication lost after initial deployment,https://www.blueorigin.com/missions/blue-origin-venus-mission-6174
JA-06175,JAXA Crewed Spaceflight Mission 6175,JAXA,Japan,Government,Robotic,Crewed Spaceflight,Moon Mission,2005-09-30,2013-02-18,7.4 years,H-IIA,Kagoshima,Success,Past,Uncrewed,N/A,Crewed Spaceflight,Asteroid composition and deflection study,Detected organic molecules at surface,5214.5,CSA,Partial,N/A,First crewed landing at destination,https://www.jaxa.jp/missions/jaxa-crewed-spaceflight-mission-6175
CS-06176,CSA Deep Space Mission 6176,CSA,Canada,Government,Technology Demo,Deep Space,Probe,1961-01-07,N/A,Ongoing,Falcon 9,Vandenberg SFB,Ongoing,Past,Crewed,"MS3, MS1, Pilot, MS2",Deep Space,Microgravity biology experiment in LEO,Planned - objectives to be confirmed post-launch,3117.4,None,Yes,N/A,Exceeded planned science return by 3x,https://www.asc-csa.gc.ca/mission/csa-deep-space-mission-6176
SP-06177,SpaceX SmallSat Mission 6177,SpaceX,USA,Private,Technology Demo,SmallSat,Earth Imaging,2034-12-14,N/A,Ongoing,Falcon 9,Vandenberg SFB,Upcoming,Future,Uncrewed,N/A,SmallSat,Microgravity biology experiment in LEO,Planned - objectives to be confirmed post-launch,14412.0,NASA,N/A,N/A,First images returned from target destination,https://www.spacex.com/missions/spacex-smallsat-mission-6177
IS-06178,ISRO Earth Observation Mission 6178,ISRO,India,Government,Telescope,Earth Observation,Weather Satellite,1976-05-08,1979-10-15,3.4 years,GSLV Mk III,Thumba Equatorial Rocket Station,Success,Past,Uncrewed,N/A,Earth Observation,Mars sample return mission support,Discovered new geological features,2776.3,ESA,Partial,N/A,Deployed constellation of satellites,https://www.isro.gov.in/mission/isro-earth-observation-mission-6178
CN-06179,CNES Asteroid Mission 6179,CNES,France,Government,Satellite,Asteroid,Sample Return,1998-09-25,N/A,Ongoing,Ariane 6,Kourou (French Guiana),Ongoing,Past,Crewed,"PS2, Pilot, MS1",Asteroid,Mars atmospheric study and habitability assessment,Detected organic molecules at surface,5161.0,ISRO,Yes,N/A,Successfully deployed all planned instruments,https://cnes.fr/mission/cnes-asteroid-mission-6179
NA-06180,NASA Crewed Spaceflight Mission 6180,NASA,USA,Government,Satellite,Crewed Spaceflight,Test Flight,2020-06-01,N/A,Ongoing,Titan,Vandenberg SFB,Ongoing,Ongoing,Uncrewed,N/A,Crewed Spaceflight,Technology demonstration for future deep space missions,Landed successfully within target zone,1445.1,CSA,No,N/A,Collected and returned surface samples,https://www.nasa.gov/mission/nasa-crewed-spaceflight-mission-6180
DL-06181,DLR Mercury Mission 6181,DLR,Germany,Government,Sounding Rocket,Mercury,Flyby,2028-05-29,N/A,Ongoing,Sounding Rocket,Kourou (French Guiana),Upcoming,Future,Uncrewed,N/A,Mercury,Earth climate monitoring and greenhouse gas measurement,Planned - objectives to be confirmed post-launch,5675.0,None,N/A,N/A,Deployed constellation of satellites,https://www.dlr.de/mission/dlr-mercury-mission-6181
CN-06182,CNSA Crewed Spaceflight Mission 6182,CNSA,China,Government,Telescope,Crewed Spaceflight,Moon Mission,1975-09-26,1976-09-11,351 days,Long March 5,Jiuquan,Failed,Past,Uncrewed,N/A,Crewed Spaceflight,Orbital mechanics experiment for future missions,Fuel leak detected pre-launch - scrubbed,11218.6,None,Partial,Fuel leak detected pre-launch - scrubbed,Extended mission beyond original timeline,http://www.cnsa.gov.cn/mission/cnsa-crewed-spaceflight-mission-6182
SP-06183,SpaceX Sun/Solar Mission 6183,SpaceX,USA,Private,Sounding Rocket,Sun/Solar,L1 Point,2020-04-18,N/A,Ongoing,Starship,Boca Chica (Starbase),Ongoing,Ongoing,Uncrewed,N/A,Sun/Solar,Human lunar landing mission support,Partial success - secondary objectives met,12407.6,None,Partial,N/A,Captured highest resolution images to date,https://www.spacex.com/missions/spacex-sun/solar-mission-6183
SP-06184,SpaceX Asteroid Mission 6184,SpaceX,USA,Private,Telescope,Asteroid,Rendezvous,1978-04-01,1981-03-25,3.0 years,Falcon 1,Vandenberg SFB,Success,Past,Uncrewed,N/A,Asteroid,Next-generation communication satellite deployment,Mission ongoing - data collection in progress,7827.0,None,Partial,N/A,Detected water ice at target location,https://www.spacex.com/missions/spacex-asteroid-mission-6184
JA-06185,JAXA Telescope Mission 6185,JAXA,Japan,Government,Human Spaceflight,Telescope,X-ray,2025-12-04,N/A,Ongoing,Mu-3S,Tanegashima,Ongoing,Ongoing,Crewed,"Pilot, PS1, MS3, Commander, MS2, PS2",Telescope,High-resolution Earth surface mapping,Broke distance record for agency,3634.4,None,Yes,N/A,Successfully tested new propulsion system,https://www.jaxa.jp/missions/jaxa-telescope-mission-6185
JA-06186,JAXA Venus Mission 6186,JAXA,Japan,Government,Robotic,Venus,Atmospheric Probe,1992-06-18,N/A,Ongoing,H-IIA,Tanegashima,Ongoing,Past,Uncrewed,N/A,Venus,Mars sample return mission support,Deployed constellation of satellites,4104.6,None,Partial,N/A,Completed all primary mission objectives,https://www.jaxa.jp/missions/jaxa-venus-mission-6186
ES-06187,ESA Sounding Rocket Mission 6187,ESA,Europe,Government,Telescope,Sounding Rocket,Microgravity Exp,2007-05-02,2021-04-16,14.0 years,Soyuz (ESA),Vandenberg,Success,Past,Uncrewed,N/A,Sounding Rocket,Technology demonstration for future deep space missions,Exceeded planned science return by 3x,4045.8,None,Yes,N/A,Landed successfully within target zone,https://www.esa.int/Science_Exploration/esa-sounding-rocket-mission-6187
ES-06188,ESA Moon Mission 6188,ESA,Europe,Government,Telescope,Moon,Lander,1981-10-13,1996-09-17,14.9 years,Ariane 6,Baikonur,Failed,Past,Crewed,"Commander, Pilot",Moon,Jupiter moon subsurface ocean investigation,Debris impact damaged solar panels,11062.1,None,Yes,Debris impact damaged solar panels,Failed to achieve orbit due to launch vehicle anomaly,https://www.esa.int/Science_Exploration/esa-moon-mission-6188
CN-06189,CNSA SmallSat Mission 6189,CNSA,China,Government,Satellite,SmallSat,Science,2029-05-27,N/A,Ongoing,Long March 3,Taiyuan,Upcoming,Future,Uncrewed,N/A,SmallSat,Earth climate monitoring and greenhouse gas measurement,Planned - objectives to be confirmed post-launch,317.4,None,N/A,N/A,Confirmed presence of subsurface water,http://www.cnsa.gov.cn/mission/cnsa-smallsat-mission-6189
ES-06190,ESA Jupiter Mission 6190,ESA,Europe,Government,Robotic,Jupiter,Probe,2021-12-12,2023-01-28,1.1 years,Ariane 5,Kourou (French Guiana),Success,Past,Uncrewed,N/A,Jupiter,Solar wind and coronal mass ejection monitoring,Detected organic molecules at surface,4846.6,None,Partial,N/A,Landed successfully within target zone,https://www.esa.int/Science_Exploration/esa-jupiter-mission-6190
CN-06191,CNES Technology Demo Mission 6191,CNES,France,Government,Telescope,Technology Demo,AI Demo,1966-10-31,1971-11-19,5.1 years,Diamant,Hammaguir,Success,Past,Crewed,"Commander, MS1, MS2, PS2, Pilot, MS3",Technology Demo,Technology demonstration for future deep space missions,Successfully deployed all planned instruments,2660.0,ISRO,Partial,N/A,Confirmed presence of subsurface water,https://cnes.fr/mission/cnes-technology-demo-mission-6191
CS-06192,CSA Communication Satellite Mission 6192,CSA,Canada,Government,Commercial,Communication Satellite,Broadband,1979-06-09,N/A,Ongoing,Atlas V,Kennedy Space Center,Ongoing,Past,Uncrewed,N/A,Communication Satellite,Next-generation communication satellite deployment,First images returned from target destination,4267.5,None,Yes,N/A,Mission ongoing - data collection in progress,https://www.asc-csa.gc.ca/mission/csa-communication-satellite-mission-6192
CS-06193,CSA Saturn Mission 6193,CSA,Canada,Government,Robotic,Saturn,Orbiter,2027-07-29,N/A,Ongoing,Falcon 9,Kennedy Space Center,Upcoming,Future,Uncrewed,N/A,Saturn,Asteroid composition and deflection study,Planned - objectives to be confirmed post-launch,12850.6,ESA,N/A,N/A,First images returned from target destination,https://www.asc-csa.gc.ca/mission/csa-saturn-mission-6193
JA-06194,JAXA Deep Space Mission 6194,JAXA,Japan,Government,Human Spaceflight,Deep Space,Voyager-type,1985-06-09,1987-02-13,1.7 years,Epsilon,Kagoshima,Success,Past,Uncrewed,N/A,Deep Space,Deep space gravitational wave detection,Partial success - secondary objectives met,4644.2,None,Partial,N/A,Demonstrated reusable rocket landing,https://www.jaxa.jp/missions/jaxa-deep-space-mission-6194
CN-06195,CNES Mercury Mission 6195,CNES,France,Government,Human Spaceflight,Mercury,Flyby,2025-05-31,N/A,Ongoing,Diamant,Hammaguir,Ongoing,Ongoing,Uncrewed,N/A,Mercury,Jupiter moon subsurface ocean investigation,Discovered new geological features,5235.0,None,Yes,N/A,First crewed landing at destination,https://cnes.fr/mission/cnes-mercury-mission-6195
DL-06196,DLR SmallSat Mission 6196,DLR,Germany,Government,Sounding Rocket,SmallSat,Science,2011-10-20,2020-05-10,8.6 years,Ariane 5,Kourou (French Guiana),Success,Past,Uncrewed,N/A,SmallSat,Next-generation communication satellite deployment,Broke distance record for agency,390.0,None,Partial,N/A,Mission ongoing - data collection in progress,https://www.dlr.de/mission/dlr-smallsat-mission-6196
AS-06197,ASI Mars Mission 6197,ASI,Italy,Government,Commercial,Mars,Lander,1998-11-09,2006-12-31,8.1 years,Sounding Rocket,Broglio Space Centre,Success,Past,Uncrewed,N/A,Mars,Commercial crew certification flight,Achieved supersonic retropropulsion,14215.7,ESA,Partial,N/A,Landed successfully within target zone,https://www.asi.it/mission/asi-mars-mission-6197
IS-06198,ISRO Technology Demo Mission 6198,ISRO,India,Government,Sounding Rocket,Technology Demo,AI Demo,2025-08-10,N/A,Ongoing,PSLV,Satish Dhawan Space Centre,Ongoing,Ongoing,Uncrewed,N/A,Technology Demo,Next-generation communication satellite deployment,Completed all primary mission objectives,12567.7,JAXA,No,N/A,Communication lost after initial deployment,https://www.isro.gov.in/mission/isro-technology-demo-mission-6198
IS-06199,ISRO Moon Mission 6199,ISRO,India,Government,Human Spaceflight,Moon,Flyby,1958-04-28,1968-02-13,9.8 years,GSLV Mk III,Thumba Equatorial Rocket Station,Success,Past,Uncrewed,N/A,Moon,Commercial crew certification flight,Completed all primary mission objectives,10874.4,None,No,N/A,Mission ongoing - data collection in progress,https://www.isro.gov.in/mission/isro-moon-mission-6199
SP-06200,SpaceX Asteroid Mission 6200,SpaceX,USA,Private,Satellite,Asteroid,Deflector,2011-09-29,N/A,Ongoing,Falcon Heavy,Boca Chica (Starbase),Ongoing,Past,Uncrewed,N/A,Asteroid,Next-generation communication satellite deployment,Planned - objectives to be confirmed post-launch,2067.7,None,Partial,N/A,Partial success - secondary objectives met,https://www.spacex.com/missions/spacex-asteroid-mission-6200
SP-06201,SpaceX Earth Observation Mission 6201,SpaceX,USA,Private,Satellite,Earth Observation,Climate Study,1986-11-08,1998-02-03,11.2 years,Falcon Heavy,Vandenberg SFB,Success,Past,Uncrewed,N/A,Earth Observation,ISS crew rotation and life support resupply,Demonstrated reusable rocket landing,2822.0,None,Yes,N/A,Deployed constellation of satellites,https://www.spacex.com/missions/spacex-earth-observation-mission-6201
ES-06202,ESA Technology Demo Mission 6202,ESA,Europe,Government,Sounding Rocket,Technology Demo,Debris Removal,1971-11-02,1986-10-25,15.0 years,Vega-C,Baikonur,Success,Past,Crewed,"Commander, Pilot",Technology Demo,ISS crew rotation and life support resupply,Detected water ice at target location,3446.5,NASA,Partial,N/A,Extended mission beyond original timeline,https://www.esa.int/Science_Exploration/esa-technology-demo-mission-6202
SP-06203,SpaceX ISS Mission 6203,SpaceX,USA,Private,Commercial,ISS,Cargo Resupply,2021-11-10,N/A,Ongoing,Falcon 1,Vandenberg SFB,Ongoing,Ongoing,Uncrewed,N/A,ISS,Solar wind and coronal mass ejection monitoring,Completed all primary mission objectives,7197.0,NASA,Partial,N/A,Demonstrated reusable rocket landing,https://www.spacex.com/missions/spacex-iss-mission-6203
CN-06204,CNSA CubeSat Mission 6204,CNSA,China,Government,Telescope,CubeSat,3U CubeSat,2010-12-25,2010-03-16,N/A,Long March 3,Taiyuan,Partial Success,Past,Uncrewed,N/A,CubeSat,Deep space gravitational wave detection,Landed successfully within target zone,11149.6,ESA,Yes,Reduced data return,Successfully tested new propulsion system,http://www.cnsa.gov.cn/mission/cnsa-cubesat-mission-6204
RO-06205,ROSCOSMOS Technology Demo Mission 6205,ROSCOSMOS,Russia,Government,Commercial,Technology Demo,AI Demo,2035-01-27,N/A,Ongoing,Energia,Plesetsk Cosmodrome,Upcoming,Future,Uncrewed,N/A,Technology Demo,Mars atmospheric study and habitability assessment,Planned - objectives to be confirmed post-launch,11638.7,ESA,N/A,N/A,Completed all primary mission objectives,https://www.roscosmos.ru/mission/roscosmos-technology-demo-mission-6205
CN-06206,CNES Communication Satellite Mission 6206,CNES,France,Government,Sounding Rocket,Communication Satellite,Broadband,2009-07-22,2013-08-22,4.1 years,Ariane 5,Hammaguir,Success,Past,Uncrewed,N/A,Communication Satellite,Commercial crew certification flight,Demonstrated reusable rocket landing,4109.3,None,Partial,N/A,Landed successfully within target zone,https://cnes.fr/mission/cnes-communication-satellite-mission-6206
BL-06207,Blue Origin ISS Mission 6207,Blue Origin,USA,Private,Robotic,ISS,Cargo Resupply,2020-02-14,N/A,Ongoing,New Glenn,Cape Canaveral LC-36,Ongoing,Ongoing,Uncrewed,N/A,ISS,Earth observation for disaster management,Completed all primary mission objectives,9129.2,None,No,N/A,Communication lost after initial deployment,https://www.blueorigin.com/missions/blue-origin-iss-mission-6207
ES-06208,ESA Earth Orbit Mission 6208,ESA,Europe,Government,Telescope,Earth Orbit,LEO,1995-09-05,2001-06-18,5.8 years,Soyuz (ESA),Baikonur,Success,Past,Uncrewed,N/A,Earth Orbit,Next-generation communication satellite deployment,Collected and returned surface samples,7316.0,CSA,Partial,N/A,Confirmed presence of subsurface water,https://www.esa.int/Science_Exploration/esa-earth-orbit-mission-6208
RO-06209,ROSCOSMOS Mars Mission 6209,ROSCOSMOS,Russia,Government,Telescope,Mars,Lander,2018-12-20,2021-01-05,2.0 years,Zenit,Vostochny Cosmodrome,Failed,Past,Crewed,"PS1, Commander, PS2, Pilot",Mars,Interplanetary navigation technology test,N/A,10061.5,None,No,N/A,Detected organic molecules at surface,https://www.roscosmos.ru/mission/roscosmos-mars-mission-6209
DL-06210,DLR SmallSat Mission 6210,DLR,Germany,Government,Satellite,SmallSat,Earth Imaging,2021-12-10,N/A,Ongoing,Sounding Rocket,Kiruna,Ongoing,Ongoing,Uncrewed,N/A,SmallSat,Reusable launch vehicle technology demonstration,Planned - objectives to be confirmed post-launch,3640.9,None,No,N/A,Mission ongoing - data collection in progress,https://www.dlr.de/mission/dlr-smallsat-mission-6210
BL-06211,Blue Origin Mercury Mission 6211,Blue Origin,USA,Private,Human Spaceflight,Mercury,Orbiter,2023-03-26,N/A,Ongoing,New Glenn,Cape Canaveral LC-36,Ongoing,Ongoing,Crewed,"Commander, MS3, PS2, Pilot",Mercury,Mars atmospheric study and habitability assessment,First images returned from target destination,6343.4,None,Partial,N/A,Broke distance record for agency,https://www.blueorigin.com/missions/blue-origin-mercury-mission-6211
AS-06212,ASI Communication Satellite Mission 6212,ASI,Italy,Government,Telescope,Communication Satellite,Geostationary,1959-12-18,1966-10-31,6.9 years,Ariane 5,Kourou (French Guiana),Failed,Past,Crewed,"PS1, MS2",Communication Satellite,Deep space gravitational wave detection,Fuel leak detected pre-launch - scrubbed,701.7,None,Yes,Fuel leak detected pre-launch - scrubbed,Landed successfully within target zone,https://www.asi.it/mission/asi-communication-satellite-mission-6212
DL-06213,DLR Sounding Rocket Mission 6213,DLR,Germany,Government,Robotic,Sounding Rocket,Atmospheric Study,2034-01-14,N/A,Ongoing,Vega,Kourou (French Guiana),Upcoming,Future,Crewed,"MS1, Pilot, Commander, MS3, PS1, MS2",Sounding Rocket,Next-generation communication satellite deployment,Planned - objectives to be confirmed post-launch,3112.9,ESA,N/A,N/A,Exceeded planned science return by 3x,https://www.dlr.de/mission/dlr-sounding-rocket-mission-6213
CS-06214,CSA Mars Mission 6214,CSA,Canada,Government,Human Spaceflight,Mars,Lander,2022-05-05,N/A,Ongoing,Atlas V,Vandenberg SFB,Ongoing,Ongoing,Uncrewed,N/A,Mars,Gamma-ray burst detection and cataloguing,Communication lost after initial deployment,8825.2,ESA,Partial,N/A,Extended mission beyond original timeline,https://www.asc-csa.gc.ca/mission/csa-mars-mission-6214
CN-06215,CNES Telescope Mission 6215,CNES,France,Government,Telescope,Telescope,Gamma Ray,1984-01-25,1997-10-09,13.7 years,Ariane 6,Kourou (French Guiana),Success,Past,Uncrewed,N/A,Telescope,High-resolution Earth surface mapping,Failed to achieve orbit due to launch vehicle anomaly,13634.7,ESA,Partial,N/A,Extended mission beyond original timeline,https://cnes.fr/mission/cnes-telescope-mission-6215
CN-06216,CNSA SmallSat Mission 6216,CNSA,China,Government,Commercial,SmallSat,Tech Demo,2026-08-05,N/A,Ongoing,Long March 2,Wenchang,Upcoming,Future,Uncrewed,N/A,SmallSat,Black hole imaging and stellar cataloguing,Planned - objectives to be confirmed post-launch,4736.8,None,N/A,N/A,Deployed constellation of satellites,http://www.cnsa.gov.cn/mission/cnsa-smallsat-mission-6216
BL-06217,Blue Origin Deep Space Mission 6217,Blue Origin,USA,Private,Telescope,Deep Space,Voyager-type,1994-01-26,1999-03-09,5.1 years,New Shepard,West Texas (Corn Ranch),Success,Past,Uncrewed,N/A,Deep Space,Lunar surface exploration and soil sample collection,Exceeded planned science return by 3x,14733.5,NASA,Partial,N/A,Mission ongoing - data collection in progress,https://www.blueorigin.com/missions/blue-origin-deep-space-mission-6217
CS-06218,CSA CubeSat Mission 6218,CSA,Canada,Government,Satellite,CubeSat,12U CubeSat,2024-03-08,N/A,Ongoing,Falcon 9,Kennedy Space Center,Ongoing,Ongoing,Uncrewed,N/A,CubeSat,Earth observation for disaster management,Successfully deployed all planned instruments,11505.1,None,Partial,N/A,Detected organic molecules at surface,https://www.asc-csa.gc.ca/mission/csa-cubesat-mission-6218
